"subawardee_name","subaward_amount","subaward_action_date_fiscal_year","subawardee_business_types","subaward_description_list"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"For-Profit Organization","Detonator&Initiator"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"Manufacturer of Goods","Detonator&Initiator"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"For-Profit Organization","Fuselage"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"Manufacturer of Goods","Fuselage"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"For-Profit Organization","GenStructuralAssys"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"Manufacturer of Goods","GenStructuralAssys"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"For-Profit Organization","MoldedRubber&ORing"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"Manufacturer of Goods","MoldedRubber&ORing"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"For-Profit Organization","Non-complexMachined"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"Manufacturer of Goods","Non-complexMachined"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"For-Profit Organization","Seals"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"Manufacturer of Goods","Seals"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"For-Profit Organization","Tech/EngServices"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"Manufacturer of Goods","Tech/EngServices"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"For-Profit Organization","WireCable"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",62696821,2016,"Manufacturer of Goods","WireCable"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"For-Profit Organization","Detonator&Initiator"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"Manufacturer of Goods","Detonator&Initiator"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"For-Profit Organization","Fuselage"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"Manufacturer of Goods","Fuselage"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"For-Profit Organization","GenStructuralAssys"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"Manufacturer of Goods","GenStructuralAssys"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"For-Profit Organization","MoldedRubber&ORing"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"Manufacturer of Goods","MoldedRubber&ORing"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"For-Profit Organization","Non-complexMachined"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"Manufacturer of Goods","Non-complexMachined"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"For-Profit Organization","Seals"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"Manufacturer of Goods","Seals"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"For-Profit Organization","Tech/EngServices"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"Manufacturer of Goods","Tech/EngServices"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"For-Profit Organization","WireCable"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",60448995,2016,"Manufacturer of Goods","WireCable"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",6e+07,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",6e+07,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",48800000,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",48800000,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",48800000,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",48800000,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",48800000,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",48800000,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",4.4e+07,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",4.4e+07,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",39200000,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",39200000,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",35100000,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",35100000,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",31200000,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",31200000,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",22205895,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",22205895,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2.1e+07,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2.1e+07,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",11200000,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",11200000,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",8e+06,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",8e+06,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",6e+06,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",6e+06,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",4e+06,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",4e+06,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",5e+05,2016,"Contracts and Grants","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",5e+05,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",5e+05,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",199862,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",199862,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",197547,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",197547,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",197472,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",197472,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",99925,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",99925,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",98553,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",98553,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",91925,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",91925,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2176384,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2176384,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2148728,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2148728,2020,"Manufacturer of Goods","NRE-Other"
