"prime_award_disaster_emergency_fund_codes","prime_award_obligated_amount_funded_by_covid_19_supplementals","prime_award_awarding_sub_agency_code","prime_award_awarding_sub_agency_name","prime_award_awarding_office_code","prime_award_awarding_office_name","prime_award_funding_sub_agency_code","prime_award_funding_sub_agency_name","prime_award_funding_office_code","prime_award_funding_office_name","prime_awardee_dba_name","prime_awardee_parent_duns","prime_awardee_parent_name","prime_awardee_business_types","prime_award_primary_place_of_performance_city_name","prime_award_primary_place_of_performance_address_zip_code","prime_award_primary_place_of_performance_congressional_district","prime_award_project_title","subaward_fsrs_report_id","subaward_fsrs_report_year","subaward_fsrs_report_month","subaward_number","subaward_amount","subaward_action_date","subaward_action_date_fiscal_year","subawardee_duns","subawardee_name","subawardee_dba_name","subawardee_parent_duns","subawardee_parent_name","subawardee_address_line_1","subawardee_city_name","subawardee_state_code","subawardee_state_name","subawardee_zip_code","subawardee_congressional_district","subawardee_business_types","subaward_primary_place_of_performance_city_name","subaward_primary_place_of_performance_state_code","subaward_primary_place_of_performance_state_name","subaward_primary_place_of_performance_address_zip_code","subaward_primary_place_of_performance_congressional_district","subaward_description","subawardee_highly_compensated_officer_1_name","subawardee_highly_compensated_officer_1_amount","subawardee_highly_compensated_officer_2_name","subawardee_highly_compensated_officer_2_amount","subawardee_highly_compensated_officer_3_name","subawardee_highly_compensated_officer_3_amount","subawardee_highly_compensated_officer_4_name","subawardee_highly_compensated_officer_4_amount","subawardee_highly_compensated_officer_5_name","subawardee_highly_compensated_officer_5_amount","subaward_fsrs_report_last_modified_date"
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001344142","RAYTHEON TECHNOLOGIES CORPORATION","For-Profit Organization,Manufacturer of Goods","15090 Tucson, AZ",857569367,"03","HYPERSONIC AIR BREAT","3969f7c16051e43a4663fc4a20da4d12",2021,10,"4201363150",62696821,2016-09-06,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC",NA,"967356127","NORTHROP GRUMMAN CORPORATION","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-16 13:35:00
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001344142","RAYTHEON TECHNOLOGIES CORPORATION",NA,"15090 Tucson, AZ",857569367,"03","HYPERSONIC AIR BREAT","9cc566b9e1dd74484ffd626aba55c80e",2020,10,"4201363150",60448995,2016-09-06,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC",NA,"967356127","NORTHROP GRUMMAN CORPORATION","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-17 10:56:12
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F1TBPV","AFRL RWP","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","813c30bc44e1bea1e5e1ea73cf917ade",2018,6,"4201363150",6e+07,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-09 19:26:13
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F4FRQH","AFRL RQH         HIGH SPEED SYS DIV","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","52c71e38b04ffded1ad9bbd19d37aa0e",2018,1,"4201363150",48800000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-02-15 14:22:36
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","b6539f59e65a9689ac55b644219dadb6",2018,2,"4201363150",48800000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-03-26 19:23:55
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","8911e3768865bb0ce8b2acf29575eeb1",2018,3,"4201363150",48800000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-23 20:03:10
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F1TBPV","AFRL RWP","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","7e300d5b9e9b4dca0d0fbe32d3a22138",2018,11,"4201363150",4.4e+07,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","967356127","NORTHROP GRUMMAN CORPORATION","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-14 17:39:50
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","8a060156205515e8ffdd6d97796735d6",2017,8,"4201363150",39200000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-27 14:39:26
NA,NA,"9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","S0305A","DCMA RAYTHEON TUCSON","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857569367,"03","AMS: ADV PROGRAMS","3f42e973b4518e391d9b610029bbbd7b",2019,5,"4201363150",35100000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","967356127","NORTHROP GRUMMAN CORPORATION","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-06 16:36:56
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F1TBAX","AFRL RW","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","3113bab7e9e914995348650434b4ae6a",2019,3,"4201363150",31200000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","967356127","NORTHROP GRUMMAN CORPORATION","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-02 20:24:02
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F4FRQH","AFRL RQH         HIGH SPEED SYS DIV","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","f194bdf06296167eafa6e86d4db6e62b",2017,4,"4201363150",22205895,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-31 17:52:00
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F4FRQH","AFRL RQH         HIGH SPEED SYS DIV","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"TUCSON",857566100,"02","AMS: ADV PROGRAMS","1ab3d0998d826d68ea2c956fb1bf989f",2017,5,"4201363150",2.1e+07,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-29 19:58:55
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","3f50a58eb2c670f527a3d35288424bac",2017,11,"4201363150",11200000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-12-21 17:06:06
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F4FRQH","AFRL RQH         HIGH SPEED SYS DIV","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","13ffd69aa30a9e255129fa1ff785ecd6",2017,3,"4201363150",8e+06,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION",NA,NA,"55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-04-27 14:28:08
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F4FRQH","AFRL RQH         HIGH SPEED SYS DIV","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS; AMS:AAWS","39c95e9cbd4021984f1fc6bed0c7ca0d",2017,2,"4201363150",6e+06,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-30 15:36:30
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001344142","RAYTHEON TECHNOLOGIES CORPORATION","For-Profit Organization,Manufacturer of Goods","15090 Tucson, AZ",857569367,"03","HYPERSONIC AIR BREAT","3969f7c16051e43a4663fc4a20da4d12",2021,10,"4201464377",4945440,2017-02-28,2017,"803209782","ORBITAL SCIENCES LLC","LAUNCH VEHICLES DIVISION","967356127","NORTHROP GRUMMAN CORPORATION","1575 SOUTH PRICE RD","CHANDLER","AZ","Arizona","852866615","05","For-Profit Organization,Limited Liability Company","CHANDLER","AZ","Arizona","852866615","05","NRE - Other.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-16 13:35:00
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F4FRQH","AFRL RQH         HIGH SPEED SYS DIV","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"TUCSON",857566100,"02","AMS: ADV PROGRAMS","1ab3d0998d826d68ea2c956fb1bf989f",2017,5,"4201464377",4866781,2017-02-24,2017,"803209782","ORBITAL SCIENCES CORPORATION","LAUNCH VEHICLES DIVISION","618705925","ORBITAL ATK, INC.","3380 S PRICE RD","CHANDLER","AZ","Arizona","852483534","06","For-Profit Organization","CHANDLER","AZ","Arizona","852483534","06","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-29 19:58:55
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F4FRQH","AFRL RQH         HIGH SPEED SYS DIV","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS:HYPERSONICS","7161e6d9a5fd5066f638187c81405fc0",2017,1,"4201363150",4e+06,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-02-28 15:38:32
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F4FRQH","AFRL RQH         HIGH SPEED SYS DIV","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS:HYPERSONICS","7161e6d9a5fd5066f638187c81405fc0",2017,1,"4201399909",3190801,2016-10-27,2017,"803209782","ORBITAL SCIENCES CORPORATION","LAUNCH VEHICLES DIVISION","618705925","ORBITAL ATK, INC.","3380 S PRICE RD","CHANDLER","AZ","Arizona","852483534","06","For-Profit Organization","CHANDLER","AZ","Arizona","852483534","06","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-02-28 15:38:32
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001344142","RAYTHEON TECHNOLOGIES CORPORATION",NA,"15090 Tucson, AZ",857569367,"03","HYPERSONIC AIR BREAT","9cc566b9e1dd74484ffd626aba55c80e",2020,10,"4201464377",2979529,2017-02-28,2017,"803209782","ORBITAL SCIENCES LLC","LAUNCH VEHICLES DIVISION","967356127","NORTHROP GRUMMAN CORPORATION","1575 SOUTH PRICE RD","CHANDLER","AZ","Arizona","852866615","05","For-Profit Organization,Limited Liability Company","CHANDLER","AZ","Arizona","852866615","05","NRE - Other.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-17 10:56:12
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F1TBPV","AFRL RWP","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","0aa44d99040d2bd25dfbb456d82a4dd5",2018,4,"4201655621",2657424,2018-01-18,2018,"603030065","JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","JASC",NA,NA,"2303 W ALAMEDA DR","TEMPE","AZ","Arizona","852823102","05","For-Profit Organization,Manufacturer of Goods,Self-Certified Small Disadvantaged Business,Woman-Owned Business","TEMPE","AZ","Arizona","852823102","05","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-29 19:33:11
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001344142","RAYTHEON TECHNOLOGIES CORPORATION","For-Profit Organization,Manufacturer of Goods","15090 Tucson, AZ",857569367,"03","HYPERSONIC AIR BREAT","3969f7c16051e43a4663fc4a20da4d12",2021,10,"4201463579",2356023,2017-03-29,2017,"039119057","ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","EBA&D","058509654","Ensign-Bickford Industries, Inc.","640 HOPMEADOW ST","SIMSBURY","CT","Connecticut","060702420","05","For-Profit Organization,Manufacturer of Goods","SIMSBURY","CT","Connecticut","060702420","05","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","Steven  Perkins",971416,"Daniel  Link",597695,"Meryl  Mallery",415647,"Jason  Smith",402322,"Chad  Thompson",388036,2021-11-16 13:35:00
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001344142","RAYTHEON TECHNOLOGIES CORPORATION",NA,"15090 Tucson, AZ",857569367,"03","HYPERSONIC AIR BREAT","9cc566b9e1dd74484ffd626aba55c80e",2020,10,"4201463579",2356023,2017-03-29,2017,"039119057","ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","EBA&D","058509654","Ensign-Bickford Industries, Inc.","640 HOPMEADOW ST","SIMSBURY","CT","Connecticut","060702420","05","For-Profit Organization,Manufacturer of Goods","SIMSBURY","CT","Connecticut","060702420","05","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-17 10:56:12
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F1TBAX","AFRL RW","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","3113bab7e9e914995348650434b4ae6a",2019,3,"4201463579",2328936,2017-02-23,2017,"039119057","ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","EBA&D","058509654","Ensign-Bickford Industries, Inc.","640 HOPMEADOW ST","SIMSBURY","CT","Connecticut","060702420","05","For-Profit Organization,Manufacturer of Goods","SIMSBURY","CT","Connecticut","060702420","05","Firm Fixed Price","Brendan M Walsh",616333,"Steven L Perkins",528682,"Daniel  Link",352343,"JASON  SMITH",298144,"mERYL  MALLERY",290615,2019-04-02 20:24:02
